,v3_original_large_layer,v3_original_combined_three_layer,pullback_10_12_reanalysed_large_layer,pullback_10_12_reanalysed_combined_three_layer,0050_BH
2021-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1016004.5065
2021-01-05,999303.61531875,1000931.27275,1000000.0,1000931.27275,1018029.5065
2021-01-06,985801.754655673,1000909.1920924999,1000000.0,998864.9448724999,1028964.5065
2021-01-07,990106.754655673,1007418.810705,1000000.0,998538.6609474999,1052859.5065000001
2021-01-08,990866.754655673,1012041.84146,1000000.0,996350.9936674999,1071489.5065000001
2021-01-11,1005591.754655673,1018081.84146,1000000.0,995735.1709974998,1080399.5065000001
2021-01-12,996198.7221944231,1004525.17236375,1000000.0,984859.4674274998,1078779.5065000001
2021-01-13,1005763.7221944231,1012311.67292925,1000000.0,978478.2694369999,1104699.5065000001
2021-01-14,1018603.7221944231,1008619.84620675,1000000.0,974926.4427144999,1094574.5065000001
2021-01-15,1003418.7221944231,1002209.84620675,1000000.0,969783.3704694998,1098219.5065000001
2021-01-18,987533.7221944231,998683.86120425,1000000.0,967296.3739944998,1097409.5065000001
2021-01-19,989128.7221944231,994863.86120425,1000000.0,963372.1907444998,1126164.5065000001
2021-01-20,966989.677941923,980757.8638055001,1000000.0,956006.9547194999,1128189.5065000001
2021-01-21,985699.677941923,989137.9893055,1000000.0,946854.8423294999,1167069.5065000001
2021-01-22,978439.677941923,1000205.8259405,1000000.0,955459.8423294999,1122114.5065000001
2021-01-25,979544.677941923,1006171.0072305001,1000000.0,962360.7976444999,1107129.5065000001
2021-01-26,977869.677941923,997741.0072305001,1000000.0,956081.7615395,1084854.5065000001
2021-01-27,978139.677941923,992711.0072305001,1000000.0,948721.6158469999,1086474.5065000001
2021-01-28,965654.677941923,983966.0072305001,1000000.0,939611.6158469999,1064604.5065000001
2021-01-29,947464.677941923,977096.536263,1000000.0,933048.053452,1047189.5064999999
2021-02-01,939214.677941923,979306.536263,1000000.0,930386.706852,1067844.5065000001
2021-02-02,944915.592616923,970676.536263,1000000.0,930386.706852,1097814.5065000001
2021-02-03,948555.592616923,959196.536263,1000000.0,930386.706852,1097004.5065000001
2021-02-04,944068.091881923,951315.520493,1000000.0,930100.163862,1090524.5065000001
2021-02-05,943553.091881923,950855.520493,1000000.0,928580.163862,1100649.5065000001
2021-02-17,963453.091881923,966883.629978,1000000.0,931523.273347,1147224.5065000001
2021-02-18,968247.445503173,979197.1077717501,1000000.0,940723.273347,1145604.5065000001
2021-02-19,972879.716900673,969987.6429667501,1000000.0,939243.808542,1133454.5065000001
2021-02-22,984114.716900673,974977.6429667501,1000000.0,942283.808542,1133049.5065000001
2021-02-23,988778.745161298,983153.77339175,1000000.0,951121.286342,1130619.5065000001
2021-02-24,978828.745161298,967518.77339175,1000000.0,945021.286342,1114014.5065000001
2021-02-25,1003748.745161298,976758.77339175,1000000.0,944101.286342,1122924.5065000001
2021-02-26,996233.745161298,971913.77339175,1000000.0,953457.4215245,1089309.5065000001
2021-03-02,1010543.745161298,973683.77339175,1000000.0,954383.6241245001,1089714.5065000001
2021-03-03,1028148.745161298,988275.167807375,1000000.0,948985.5622095001,1105509.5065000001
2021-03-04,1022448.745161298,974200.167807375,1000000.0,952025.5622095001,1084044.5065000001
2021-03-05,1019643.745161298,966395.167807375,1000000.0,949365.5622095001,1077564.5065000001
2021-03-08,1019873.745161298,964640.167807375,1000000.0,945565.5622095001,1076754.5065000001
2021-03-09,1021253.745161298,949766.200007375,1000000.0,940766.7550095001,1072704.5065000001
2021-03-10,1023068.745161298,952581.200007375,1000000.0,940766.7550095001,1077159.5065000001
2021-03-11,1032328.745161298,961951.200007375,1000000.0,940766.7550095001,1099839.5065000001
2021-03-12,1029223.745161298,962245.131004875,1000000.0,940766.7550095001,1104294.5065000001
2021-03-15,1031458.745161298,966990.131004875,1000000.0,940766.7550095001,1101459.5065000001
2021-03-16,1048193.745161298,966815.131004875,1000000.0,941110.3993945001,1105104.5065000001
2021-03-17,1032648.745161298,980092.846331125,1000000.0,943330.3993945001,1095789.5065000001
2021-03-18,1039803.745161298,988602.846331125,1000000.0,941250.3993945001,1101459.5065000001
2021-03-19,1036258.745161298,1003187.846331125,1000000.0,934773.4347320001,1084449.5065000001
2021-03-22,1038883.745161298,1026527.846331125,1000000.0,940572.80158325,1089309.5065000001
2021-03-23,1032873.745161298,999272.846331125,1000000.0,933967.47467825,1090929.5065000001
2021-03-24,1034863.745161298,994102.846331125,1000000.0,936449.4614657501,1073919.5065000001
2021-03-25,1021878.745161298,991802.695011125,1000000.0,937131.5751032501,1077564.5065000001
2021-03-26,1031008.745161298,995007.695011125,1000000.0,936611.5751032501,1097004.5065000001
2021-03-29,1063383.745161298,997292.695011125,1000000.0,936601.5751032501,1105914.5065000001
2021-03-30,1075633.745161298,1002202.695011125,1000000.0,941731.5751032501,1109559.5065000001
2021-03-31,1083628.745161298,999737.695011125,1000000.0,940438.45590325,1100244.5065000001
2021-04-01,1096183.745161298,1017977.695011125,1000000.0,937175.27866325,1108344.5065000001
2021-04-06,1119843.745161298,1043052.695011125,1000000.0,937575.27866325,1123734.5065000001
2021-04-07,1131448.745161298,1070777.695011125,1000000.0,931724.5510032501,1124949.5065000001
2021-04-08,1146073.745161298,1107017.695011125,1000000.0,944464.5510032501,1128594.5065000001
2021-04-09,1166268.745161298,1103852.695011125,1000000.0,941864.5510032501,1126164.5065000001
2021-04-12,1167573.745161298,1077637.695011125,1000000.0,935104.5510032501,1119684.5065000001
2021-04-13,1141038.745161298,1067091.463387375,1000000.0,931423.5144032501,1119684.5065000001
2021-04-14,1143858.745161298,1055447.489232375,1000000.0,934729.48888325,1125759.5065000001
2021-04-15,1160843.745161298,1067887.489232375,1000000.0,934649.48888325,1135074.5065000001
2021-04-16,1167783.745161298,1093497.489232375,1000000.0,941609.48888325,1136694.5065000001
2021-04-19,1186743.745161298,1092862.489232375,1000000.0,946489.48888325,1138719.5065000001
2021-04-20,1197598.745161298,1083802.489232375,1002115.45468625,946633.0959895,1136694.5065000001
2021-04-21,1189068.745161298,1086207.489232375,996845.45468625,943443.0959895,1126569.5065000001
2021-04-22,1174258.745161298,1063352.489232375,987545.45468625,932943.0959895,1125759.5065000001
2021-04-23,1150578.745161298,1084085.413249875,993745.45468625,935456.4551795002,1135884.5065000001
2021-04-26,1151888.745161298,1110720.413249875,994365.45468625,930109.3489295002,1152489.5065000001
2021-04-27,1161578.745161298,1097095.413249875,990645.45468625,924422.0118895002,1152894.5065000001
2021-04-28,1168113.745161298,1084763.264822375,993125.45468625,917275.4424595002,1146009.5065000001
2021-04-29,1165198.745161298,1076723.264822375,990025.45468625,913637.1092795002,1147629.5065000001
2021-05-03,1130878.745161298,1053697.760674875,978555.45468625,904435.8382795003,1128594.5065000001
2021-05-04,1088933.745161298,1030381.425064875,968945.45468625,880623.1051220002,1118874.5065000001
2021-05-05,1080523.241711298,1018881.425064875,964871.52458625,867772.3409195003,1108344.5065000001
2021-05-06,1079132.586036298,1013939.337559875,964871.52458625,865131.4521545003,1118064.5065000001
2021-05-07,1072627.586036298,1016959.337559875,964871.52458625,865131.4521545003,1137909.5065000001
2021-05-10,1071607.586036298,1025169.337559875,964871.52458625,865131.4521545003,1130214.5065000001
2021-05-11,1045882.586036298,998217.560272375,964871.52458625,865131.4521545003,1088094.5065000001
2021-05-12,1031761.7760862979,967417.565632375,964871.52458625,865131.4521545003,1056909.5065000001
2021-05-13,1031386.1116062979,953263.5376073751,964871.52458625,865131.4521545003,1041519.5065
2021-05-14,1030801.1116062979,949745.9266523751,964871.52458625,865131.4521545003,1053264.5065
2021-05-17,1026685.0159737979,941102.1013523751,964871.52458625,865131.4521545003,1033419.5065
2021-05-18,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1080399.5065000001
